,geographic_identifier,year,species,measurement_value
16229,6160005,2017,BFT,16.906
16230,6160005,2018,BFT,10.508
16231,6160005,2019,BFT,22.063999999999997
16232,6160005,2020,BFT,55.784
16233,6160005,2021,BFT,7.599
16234,6160005,2022,BFT,6.04
16235,6160005,2023,BFT,21.037
16236,6160010,2015,BFT,2.0076
16237,6160010,2020,BFT,0.35
16238,6160010,2023,BFT,0.302
16239,6160015,2015,BFT,20.1212
16240,6160015,2021,BFT,0.54
16241,6160020,2014,BFT,25.564
16242,6160020,2015,BFT,4.83826
16243,6165010,2020,BFT,0.347
16244,6165010,2023,BFT,0.358
16266,6200000,1977,BFT,1.2
16305,6200000,1996,BFT,0.118
16312,6200000,1999,BFT,1.2
16429,6200005,2000,BFT,1.9
16542,6200010,2000,BFT,1.8
22300,6210005,1977,BFT,4.6
22334,6210005,2003,BFT,0.081
25011,6215000,2001,BFT,0.038
27631,6220005,1979,BFT,1.2
27644,6220005,1985,BFT,3.6
27647,6220005,1986,BFT,1.2
27663,6220005,1996,BFT,0.035
27734,6220010,1976,BFT,0.6
27737,6220010,1977,BFT,1.2
27772,6220010,2001,BFT,0.507
27783,6220010,2006,BFT,2.235
29911,6225000,1976,BFT,0.2
29914,6225000,1977,BFT,1.2
29921,6225000,1980,BFT,1.2
29931,6225000,1985,BFT,6.0
30034,6225005,1980,BFT,1.2
30047,6225005,1986,BFT,69.6
30054,6225005,1989,BFT,10.8
30066,6225005,1996,BFT,0.599
30139,6225010,1976,BFT,0.2
30146,6225010,1979,BFT,2.4
30181,6225010,1996,BFT,0.094
32642,6230005,1976,BFT,0.1
32645,6230005,1977,BFT,1.2
32660,6230005,1985,BFT,1.2
32665,6230005,1987,BFT,1.2
32670,6230005,1989,BFT,10.8
32683,6230005,1995,BFT,0.899
32686,6230005,1996,BFT,1.256
32761,6230010,1977,BFT,3.5999999999999996
32766,6230010,1979,BFT,3.6
32779,6230010,1985,BFT,2.4
32782,6230010,1986,BFT,120.0
